id	Name	id_sub	Town	Prefecture	lat	long	facility type	corroboration level	ETNAM 	Shawn Zhang list	Shawn Zhang #	ASPI 2020 #	XJVDB	Media reports	Researchers	Links	Links 2	Links 3	Links 4
781	Taxkorgan - I	A	Taxkorgan	Kashgar	37.7799480283871	75.2285926304	detention center	Satellite - strong	P_QE24			296							
782	Fukang - II		Fukang	Changji	44.1964831807257	87.8796155201745	detention center	Satellite - strong	P_SA11			225							
783	Bole - IV		Bole	Bortala	44.8514108908604	82.0681532694238	camp	probably closed						Bitter Winter		https://bitterwinter.org/training-centre-converted-into-Pre-2016 programme - detention centre-for-muslims/			
784	Yizhou - II		Yizhou	Hami	42.8560333834522	93.4218197780065	camp	Satellite - medium	C_QU02			245							
785	Shihezi - II		Shihezi	Shihezi	44.3924715299707	85.9785514658484		Pre-2016 programme											
786	Zhaosu - III		Zhaosu	Ili	43.1513348579147	81.1288130369825	camp	probably closed						BuzzFeed News		https://www.buzzfeednews.com/article/meghara/inside-xinjiang-detention-camp			
787	Zhaosu - IV		Zhaosu	Ili	43.1615332005713	81.1292851057691	camp	probably closed						BuzzFeed News		https://www.buzzfeednews.com/article/meghara/inside-xinjiang-detention-camp			
788	Shuimogou - I		Shuimogou	örÅmqi	43.8253865188035	87.6293340513415	detention center	corroborated	P_UR11			271	XJV DB			https://shahit.biz/eng/#facilities			
789	Bachu - V		Bachu	Kashgar	39.7845237833216	78.5620194854702	detention center	closed	P_QE14			293							
790	Minfeng - II		Minfeng	Hotan	37.0646258611663	82.6830613391378		Pre-2016 programme - detention centre	P_HO18										
791	Yutian - III		Yutian	Hotan	36.8499059829274	81.673232192672		Pre-2016 programme - detention centre	P_HO15										
792	Qira - III		Qira	Hotan	37.0013390235635	80.8072908712763		Pre-2016 programme - detention centre	P_HO13										
793	Lop - II		Lop	Hotan	37.0777962558473	80.1892584408657	detention center	Satellite - strong	P_HO06			309							
794	Karakax - II	A	Karakax	Hotan	37.2770585145781	79.745781775084	detention center	corroborated	P_HO10			307	XJV DB			https://shahit.biz/eng/#facilities			
795	Hoxud - I		Hoxud	Bayingolin	42.2584379942105	86.8643395915178		Pre-2016 programme - detention centre	P_KO17										
796	Wensu - IV		Wensu	Aksu	41.0772783105427	80.3986928924513	detention center	corroborated	P_AQ06				XJV DB			https://twitter.com/shahitbiz/status/1417276265296502784?s=20 			
797	Wensu - V		Wensu	Aksu	41.0826602248381	80.4069806538355	prison - medium security	corroborated	P_AQ09			217	XJV DB			https://twitter.com/shahitbiz/status/1417276265296502784?s=20 			
798	Tiemenguan - II		Tiemenguan	XPCC	41.8892784642859	85.5900882785826	prison - medium security	corroborated				126		BBC		https://www.bbc.co.uk/news/extra/nz0g306v8c/china-tainted-cotton			
799	Tiemenguan - III		Tiemenguan	XPCC	41.8875681719248	85.5976199214964	prison - medium security	corroborated				318		BBC		https://www.bbc.co.uk/news/extra/nz0g306v8c/china-tainted-cotton			
800	Hoboksar - II		Hoboksar	Tacheng	46.7937259675872	85.7061041025509	camp	Satellite - medium				352							
801	Fuhai - III		Fuhai	Altay	47.1134432198111	87.4997573855184	detention center	closed	P_AL05										
802	Shanshan - III		Shanshan	Turpan	42.8866356503424	90.2284429777572	detention center	Satellite - strong	P_TU04										
803	Kalpin - III		Kalpin	Aksu	40.4994008819163	79.0455286083433		Pre-2016 programme - detention centre	P_AQ14										
